url	col_taxon_id	country_code
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFCQMNGF	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFCQMQDW	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFCLIORZ	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI10375	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI11489	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFCIQEWT	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI00141	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFCIRAZL	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFASCHPT	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/000457090392	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/000457090428	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFCFELVA	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/00FFC69547FB	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFAUGCRR	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFAZPPBQ	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBATXYR	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFAUGQBI	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBUTFHF	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFCGUNFQ	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBAAHSC	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBAAYDX	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI01593	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0O1J4LVT8LFM	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFAUHLIF	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFASCKWI	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI00179	6518916	
