	sourceTaxonID	scientificName	name	name_uninomial	name_specific_epithet	name_infra_specific_epithet	name_authorship	taxonKey	occCount	countryCode	occCountNL	occCountNLspecimen	occCountNLobservation	occCountNLsince2000	occCountNLsince1950
75	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBSYGRC	Acalles parvulus Boheman, 1837	Acalles parvulus 	Acalles	parvulus		Boheman, 1837	1211663	36	NL	2	0	0	2	2
76	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBSYHNJ	Acalles ptinoides (Marsham, 1802)	Acalles ptinoides 	Acalles	ptinoides		(Marsham, 1802)	1211556	334	NL	8	1	0	8	8
77	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSIDCOJR	Acalypta carinata (Panzer, 1806)	Acalypta carinata 	Acalypta	carinata		(Panzer, 1806)	2020737	368	NL	2	0	0	2	2
78	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSIDCPKJ	Acalypta gracilis (Fieber, 1844)	Acalypta gracilis 	Acalypta	gracilis		(Fieber, 1844)	4488996	105	NL	0	0	0	0	0
79	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSIDCQLC	Acalypta marginata (Wolff, 1804)	Acalypta marginata 	Acalypta	marginata		(Wolff, 1804)	4489008	211	NL	0	0	0	0	0
80	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSIDCRMG	Acalypta musci (Schrank, 1781)	Acalypta musci 	Acalypta	musci		(Schrank, 1781)	4488988	152	NL	0	0	0	0	0
81	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSIDCSMY	Acalypta nigrina (Fall_n, 1807)	Acalypta nigrina 	Acalypta	nigrina		(Fall_n, 1807)	4488999	192	NL	0	0	0	0	0
82	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSIDCTNQ	Acalypta parvula (Fall_n, 1807)	Acalypta parvula 	Acalypta	parvula		(Fall_n, 1807)	2020740	616	NL	1	1	0	1	1
83	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSIDCUOJ	Acalypta platycheila (Fieber, 1844)	Acalypta platycheila 	Acalypta	platycheila		(Fieber, 1844)	4489001	46	NL	1	1	0	1	1
84	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBSYKCD	Acalyptus carpini (Fabricius, 1793)	Acalyptus carpini 	Acalyptus	carpini		(Fabricius, 1793)	5013501	233	NL	1	1	0	1	1
85	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFARERCE	Acampsis alternipes (Nees, 1816)	Acampsis alternipes 	Acampsis	alternipes		(Nees, 1816)	1253575	4	NL	0	0	0	0	0
86	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBEDACQ	Acamptocladius submontanus (Edwards, 1932)	Acamptocladius submontanus 	Acamptocladius	submontanus		(Edwards, 1932)	1451561	2	NL	2	0	2	2	2
87	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI07859	Acanosema nervosa (Thomson, 1859)	Acanosema nervosa 	Acanosema	nervosa		(Thomson, 1859)	4503227	6	NL	0	0	0	0	0
88	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFEPRODK	Acanthinula aculeata (O.F. Mªller, 1774)	Acanthinula aculeata 	Acanthinula	aculeata		(O.F. Mªller, 1774)	4567429	4988	NL	69	68	0	69	69
89	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBNTZOI	Acanthiophilus helianthi (Rossi, 1790)	Acanthiophilus helianthi 	Acanthiophilus	helianthi		(Rossi, 1790)	1629286	43	NL	0	0	0	0	0
90	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFCONJBC	Acanthis cabaret (Statius Mªller, 1776)	Acanthis cabaret 	Acanthis	cabaret		(Statius Mªller, 1776)	6871058	1803	NL	9	0	0	9	9
91	http://www.nederlandsesoorten.nl/nsr/concept/000464942373	Acanthis flammea (Linnaeus, 1758)	Acanthis flammea 	Acanthis	flammea		(Linnaeus, 1758)	2494622	784425	NL	178	157	0	178	178
92	http://www.nederlandsesoorten.nl/nsr/concept/000464942387	Acanthis hornemanni (Holboell, 1843)	Acanthis hornemanni 	Acanthis	hornemanni		(Holboell, 1843)	2494732	54080	NL	2	2	0	2	2
93	http://www.nederlandsesoorten.nl/nsr/concept/0FHCYFASEQJD	Acanthobasidium phragmitis Boidin, Lanq., Cand., Gilles & Hugueney, 1986	Acanthobasidium phragmitis 	Acanthobasidium	phragmitis		Boidin, Lanq., Cand., Gilles & Hugueney, 1986	2553005	1	NL	0	0	0	0	0
