	countryCode	sourceTaxonID	scientificName	name	name_uninomial	name_specific_epithet	name_infra_specific_epithet	name_authorship	taxonKey	occCount	occCountNL	occCountNLspecimen	occCountNLobservation	occCountNLsince2000	occCountNLsince1950
18113	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBSQCFP	Hippodamia septemmaculata (De Geer, 1775)	Hippodamia septemmaculata 	Hippodamia	septemmaculata		(De Geer, 1775)	5749408	0	0	0	0	0	0
18114	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBSQDBW	Hippodamia tredecimpunctata (Linnaeus, 1758)	Hippodamia tredecimpunctata 	Hippodamia	tredecimpunctata		(Linnaeus, 1758)	3233462	0	0	0	0	0	0
18115	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBSQDYC	Hippodamia variegata (Goeze, 1777)	Hippodamia variegata 	Hippodamia	variegata		(Goeze, 1777)	1043082	0	0	0	0	0	0
18116	NL	http://www.nederlandsesoorten.nl/nsr/concept/000455863395	Hippoglossoides platessoides (Fabricius, 1780)	Hippoglossoides platessoides 	Hippoglossoides	platessoides		(Fabricius, 1780)	2409104	0	0	0	0	0	0
18117	NL	http://www.nederlandsesoorten.nl/nsr/concept/000455863402	Hippoglossus hippoglossus (Linnaeus, 1758)	Hippoglossus hippoglossus 	Hippoglossus	hippoglossus		(Linnaeus, 1758)	2408796	0	0	0	0	0	0
18118	NL	http://www.nederlandsesoorten.nl/nsr/concept/000464941445	Hippolais icterina (Vieillot, 1817)	Hippolais icterina 	Hippolais	icterina		(Vieillot, 1817)	2493220	0	0	0	0	0	0
18119	NL	http://www.nederlandsesoorten.nl/nsr/concept/000464941557	Hippolais polyglotta (Vieillot, 1817)	Hippolais polyglotta 	Hippolais	polyglotta		(Vieillot, 1817)	2493214	0	0	0	0	0	0
18120	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI11710	Hippolyte varians Leach, 1814	Hippolyte varians 	Hippolyte	varians		Leach, 1814	5178664	0	0	0	0	0	0
18121	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFCDWWJV	Hippophae rhamnoides L.	Hippophae rhamnoides 	Hippophae	rhamnoides		L.	4926527	0	0	0	0	0	0
18122	NL	http://www.nederlandsesoorten.nl/nsr/concept/073DCA6549C4	Hippoporina spec.	Hippoporina spec. 	Hippoporina	spec.			1005085	0	0	0	0	0	0
18123	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFCMUKJP	Hippotion celerio (Linnaeus, 1758)	Hippotion celerio 	Hippotion	celerio		(Linnaeus, 1758)	1862293	0	0	0	0	0	0
18124	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBSEMUP	Hippuriphila modeeri (Linnaeus, 1760)	Hippuriphila modeeri 	Hippuriphila	modeeri		(Linnaeus, 1760)	4462685	0	0	0	0	0	0
18125	NL	http://www.nederlandsesoorten.nl/nsr/concept/000457091577	Hippuris vulgaris L.	Hippuris vulgaris 	Hippuris	vulgaris		L.	5372503	0	0	0	0	0	0
18126	NL	http://www.nederlandsesoorten.nl/nsr/concept/0FHCYFBAQTLX	Hirneola auricula-judae (Fr.:Fr.) Berk.	Hirneola auricula-judae 	Hirneola	auricula-judae		(Fr.:Fr.) Berk.	6095753	0	0	0	0	0	0
18127	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFCDDDAR	Hirschfeldia incana (L.) Lagr.-Foss.	Hirschfeldia incana 	Hirschfeldia	incana		(L.) Lagr.-Foss.	3050595	0	0	0	0	0	0
18128	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI02626	Hirschmanniella gracilis (De Man, 1880)	Hirschmanniella gracilis 	Hirschmanniella	gracilis		(De Man, 1880)	4556334	0	0	0	0	0	0
18129	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI02623	Hirschmanniella loofi Sher, 1968	Hirschmanniella loofi 	Hirschmanniella	loofi		Sher, 1968	4556331	0	0	0	0	0	0
35310	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI01056	Sipha maydis Passerini, 1860	Sipha maydis 	Sipha	maydis		Passerini, 1860	4386827	0	0	0	0	0	0
35311	NL	http://www.nederlandsesoorten.nl/nsr/concept/000457169079	Siphlonurus aestivalis (Eaton, 1903)	Siphlonurus aestivalis 	Siphlonurus	aestivalis		(Eaton, 1903)	4481024	0	0	0	0	0	0
35312	NL	http://www.nederlandsesoorten.nl/nsr/concept/000457169084	Siphlonurus alternatus (Say, 1824)	Siphlonurus alternatus 	Siphlonurus	alternatus		(Say, 1824)	1407136	0	0	0	0	0	0
35313	NL	http://www.nederlandsesoorten.nl/nsr/concept/000457169089	Siphlonurus armatus Eaton, 1870	Siphlonurus armatus 	Siphlonurus	armatus		Eaton, 1870	4481035	0	0	0	0	0	0
35314	NL	http://www.nederlandsesoorten.nl/nsr/concept/000457169094	Siphlonurus lacustris Eaton, 1870	Siphlonurus lacustris 	Siphlonurus	lacustris		Eaton, 1870	4481038	0	0	0	0	0	0
35315	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBNPUDT	Siphona boreata Mesnil, 1960	Siphona boreata 	Siphona	boreata		Mesnil, 1960	1476634	0	0	0	0	0	0
35316	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBNPVJJ	Siphona collini Mesnil, 1960	Siphona collini 	Siphona	collini		Mesnil, 1960	1476743	0	0	0	0	0	0
35317	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBNPWON	Siphona confusa Mesnil, 1961	Siphona confusa 	Siphona	confusa		Mesnil, 1961	1476655	0	0	0	0	0	0
35318	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBNPXTR	Siphona cristata (Fabricius, 1805)	Siphona cristata 	Siphona	cristata		(Fabricius, 1805)	1476565	0	0	0	0	0	0
35319	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBNPYYW	Siphona flavifrons Staeger, 1849	Siphona flavifrons 	Siphona	flavifrons		Staeger, 1849	1476736	0	0	0	0	0	0
35320	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBNQAEA	Siphona geniculata (De Geer, 1776)	Siphona geniculata 	Siphona	geniculata		(De Geer, 1776)	1476749	0	0	0	0	0	0
35321	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBNQBJE	Siphona hokkaidensis Mesnil, 1957	Siphona hokkaidensis 	Siphona	hokkaidensis		Mesnil, 1957	1476767	0	0	0	0	0	0
35322	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBNQCOI	Siphona ingerae Andersen, 1982	Siphona ingerae 	Siphona	ingerae		Andersen, 1982	1476647	0	0	0	0	0	0
35323	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBNQDTM	Siphona maculata Staeger, 1849	Siphona maculata 	Siphona	maculata		Staeger, 1849	1476729	0	0	0	0	0	0
35324	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBNQGDV	Siphona paludosa Mesnil, 1960	Siphona paludosa 	Siphona	paludosa		Mesnil, 1960	1476611	0	0	0	0	0	0
35325	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBNQKYX	Siphona pauciseta Rondani, 1865	Siphona pauciseta 	Siphona	pauciseta		Rondani, 1865	1476579	0	0	0	0	0	0
35326	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBNQMEB	Siphona setosa Mesnil, 1960	Siphona setosa 	Siphona	setosa		Mesnil, 1960	1476668	0	0	0	0	0	0
35601	NL	http://www.nederlandsesoorten.nl/nsr/concept/000000025207	Specularius impressithorax (Pic, 1932)	Specularius impressithorax 	Specularius	impressithorax		(Pic, 1932)	6949273	0	0	0	0	0	0
35602	NL	http://www.nederlandsesoorten.nl/nsr/concept/0FHCYFBLKCDP	Speira toruloides Sacc.	Speira toruloides 	Speira	toruloides		Sacc.	2614790	0	0	0	0	0	0
35603	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI10118	Speleorodens michigensis (Ford, 1962)	Speleorodens michigensis 	Speleorodens	michigensis		(Ford, 1962)	4542369	0	0	0	0	0	0
35604	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBLUACI	Spelobia clunipes (Meigen, 1830)	Spelobia clunipes 	Spelobia	clunipes		(Meigen, 1830)	1589752	0	0	0	0	0	0
35605	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBLUBDA	Spelobia czizeki (Duda, 1918)	Spelobia czizeki 	Spelobia	czizeki		(Duda, 1918)	4514435	0	0	0	0	0	0
35606	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBLUCIE	Spelobia luteilabris (Rondani, 1880)	Spelobia luteilabris 	Spelobia	luteilabris		(Rondani, 1880)	1589774	0	0	0	0	0	0
35607	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBLUDIX	Spelobia nana (Rondani, 1880)	Spelobia nana 	Spelobia	nana		(Rondani, 1880)	4514437	0	0	0	0	0	0
35608	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBLUFPF	Spelobia parapusio (Dahl, 1909)	Spelobia parapusio 	Spelobia	parapusio		(Dahl, 1909)	4514439	0	0	0	0	0	0
35609	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBLUGPX	Spelobia pseudonivalis (Dahl, 1909)	Spelobia pseudonivalis 	Spelobia	pseudonivalis		(Dahl, 1909)	4514449	0	0	0	0	0	0
35610	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBLUHQQ	Spelobia rufilabris (Stenhammar, 1855)	Spelobia rufilabris 	Spelobia	rufilabris		(Stenhammar, 1855)	4514451	0	0	0	0	0	0
35611	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBLUIRI	Spelobia simplicipes (Duda, 1925)	Spelobia simplicipes 	Spelobia	simplicipes		(Duda, 1925)	4514433	0	0	0	0	0	0
